,Sa2,Year,regionName,score,bonus_collab,core_bonus_score_ratio
0,211011260,2017,Wantirna South,101,0,0
0,125031486,2017,Smithfield Industrial,101,6,0.059405941
0,505011078,2017,Kingsley,100,0,0
0,124041467,2017,Windsor - Bligh Park,100,0,0
0,124031459,2017,Emu Plains - Leonay,100,13,0.13
0,116011308,2017,Seven Hills - Toongabbie,100,0,0
0,207021156,2017,Bulleen,100,0,0
0,211011256,2017,Rowville - Central,100,0,0
0,208021179,2017,Elsternwick,100,0,0
0,125041490,2017,North Rocks,100,4,0.04
0,116021312,2017,Riverstone - Marsden Park,99,0,0
0,402041046,2017,Salisbury,99,1,0.01010101
0,504021054,2017,Swan View - Greenmount - Midvale,99,1,0.01010101
0,305031126,2017,Kelvin Grove - Herston,99,3,0.03030303
0,213051368,2017,Werribee - South,99,1,0.01010101
0,305011110,2017,South Brisbane,98,4,0.040816327
0,316041432,2017,Nambour,98,0,0
0,207031167,2017,Surrey Hills (East) - Mont Albert,98,0,0
0,214011374,2017,Langwarrin,98,0,0
0,505021097,2017,Yokine - Coolbinia - Menora,98,0,0
0,120031395,2017,Haberfield - Summer Hill,98,0,0
0,208011171,2017,Cheltenham - Highett (West),98,0,0
0,214021379,2017,Hastings - Somers,98,0,0
0,504031066,2017,Midland - Guildford,98,0,0
0,209021208,2017,Reservoir - West,98,2,0.020408163
0,209021207,2017,Reservoir - East,97,0,0
0,124011454,2017,Springwood - Winmalee,97,0,0
0,601051031,2017,Sandy Bay,96,0,0
0,401041016,2017,Rostrevor - Magill,96,0,0
0,403011056,2017,Brighton (SA),96,0,0
0,111021218,2017,Morisset - Cooranbong,96,0,0
0,309061250,2017,Worongary - Tallai,96,0,0
0,119011358,2017,Padstow,96,0,0
0,208021176,2017,Carnegie,95,0,0
0,211041271,2017,Nunawading,95,0,0
0,210011229,2017,Keilor East,95,0,0
0,212021296,2017,Endeavour Hills,95,0,0
0,211021262,2017,Warrandyte - Wonga Park,95,0,0
0,404011096,2017,West Lakes,95,0,0
0,206031116,2017,Moonee Ponds,94,0,0
0,506031128,2017,Parkwood - Ferndale - Lynwood,94,0,0
0,124011450,2017,Blaxland - Warrimoo - Lapstone,94,0,0
0,313021365,2017,Caboolture,94,2,0.021276596
0,313051377,2017,Clontarf,94,0,0
0,102011040,2017,Umina - Booker Bay - Patonga,94,0,0
0,206011106,2017,Brunswick East,94,10,0.106382979
0,122031425,2017,Cromer,94,2,0.021276596
0,207031165,2017,Burwood,93,0,0
0,215021397,2017,Mildura,93,1,0.010752688
0,213021343,2017,Altona North,92,0,0
0,115041301,2017,Pitt Town - McGraths Hill,92,0,0
0,505011073,2017,Greenwood - Warwick,91,0,0
0,127021510,2017,Bossley Park - Abbotsbury,91,0,0
0,120031390,2017,Ashfield,91,0,0
0,303031063,2017,Mount Gravatt,91,0,0
0,303041070,2017,Salisbury - Nathan,91,7,0.076923077
0,119041378,2017,Kogarah,91,1,0.010989011
0,209011200,2017,Ivanhoe,91,0,0
0,115011295,2017,Kellyville,90,0,0
0,506031127,2017,Cannington - Queens Park,90,0,0
0,114021284,2017,Bowral,90,0,0
0,212041312,2017,Dandenong North,90,0,0
0,107041150,2017,Woonona - Bulli - Russell Vale,90,1,0.011111111
0,302021030,2017,Geebung,90,2,0.022222222
0,213031351,2017,West Footscray - Tottenham,90,0,0
0,301031020,2017,Wynnum,90,0,0
0,506051138,2017,Forrestfield - Wattle Grove,90,0,0
0,119041380,2017,Monterey - Brighton-le-Sands - Kyeemagh,89,0,0
0,303041067,2017,Coopers Plains,89,0,0
0,119031368,2017,Hurstville,89,0,0
0,303021059,2017,Yeronga,89,1,0.011235955
0,211011259,2017,Wantirna,89,0,0
0,124031461,2017,Jamisontown - South Penrith,89,0,0
0,109011174,2017,Albury - South,89,1,0.011235955
0,302031038,2017,Northgate - Virginia,89,0,0
0,403021061,2017,Mitchell Park,89,15,0.168539326
0,104021085,2017,Coffs Harbour - South,88,0,0
0,506041134,2017,Gosnells,88,0,0
0,301011001,2017,Alexandra Hills,88,0,0
0,214011372,2017,Frankston North,88,0,0
0,509011225,2017,Albany,88,0,0
0,112011237,2017,Ballina Region,88,0,0
0,125031485,2017,Merrylands - Holroyd,88,0,0
0,304011081,2017,Jindalee - Mount Ommaney,87,0,0
0,402031037,2017,Northgate - Oakden - Gilles Plains,87,0,0
0,206071141,2017,Collingwood,87,0,0
0,207031166,2017,Burwood East,87,0,0
0,112021248,2017,Lismore,87,2,0.022988506
0,119021363,2017,Canterbury (South) - Campsie,87,0,0
0,208021182,2017,Ormond - Glen Huntly,87,0,0
0,304031097,2017,Taringa,87,0,0
0,127031524,2017,Holsworthy - Wattle Grove,87,0,0
0,401031012,2017,Glenside - Beaumont,87,0,0
0,119041379,2017,Kogarah Bay - Carlton - Allawah,87,0,0
0,309101267,2017,Benowa,86,0,0
0,206071143,2017,Fitzroy North,86,0,0
0,507041180,2017,Leeming,86,0,0
0,210051250,2017,Tullamarine,86,0,0
0,211041272,2017,Vermont,86,0,0
0,207031164,2017,Box Hill North,86,0,0
0,211041273,2017,Vermont South,85,0,0
0,304021088,2017,Chapel Hill,85,0,0
0,209011203,2017,Viewbank - Yallambie,85,0,0
0,306021145,2017,Cairns City,85,6,0.070588235
0,303061080,2017,Sunnybank Hills,85,0,0
0,504021053,2017,Mundaring,85,0,0
0,212041315,2017,Noble Park,85,3,0.035294118
0,304021087,2017,Brookfield - Kenmore Hills,85,0,0
0,505021094,2017,Trigg - North Beach - Watermans Bay,84,0,0
0,214021382,2017,Mount Martha,84,0,0
0,213031352,2017,Yarraville,84,4,0.047619048
0,207011146,2017,Ashburton (Vic.),84,0,0
0,127021519,2017,Smithfield - Wetherill Park,84,0,0
0,311051327,2017,Shailer Park,84,0,0
0,104021089,2017,Sawtell - Boambee,84,0,0
0,213051367,2017,Werribee,84,0,0
0,122031424,2017,Beacon Hill - Narraweena,84,0,0
0,504031056,2017,Ballajura,83,0,0
0,214021383,2017,Point Nepean,83,0,0
0,119021366,2017,Punchbowl,83,3,0.036144578
0,123021443,2017,Minto - St Andrews,83,4,0.048192771
0,403021058,2017,Edwardstown,83,13,0.156626506
0,123011434,2017,Elderslie - Harrington Park,83,0,0
0,310011273,2017,Forest Lake - Doolandella,82,0,0
0,102011039,2017,Terrigal - North Avoca,82,0,0
0,309021231,2017,Currumbin - Tugun,82,0,0
0,211051286,2017,Yarra Valley,82,0,0
0,106031121,2017,Nelson Bay Peninsula,82,0,0
0,213011338,2017,Sunshine West,82,0,0
0,303051073,2017,Calamvale - Stretton,82,0,0
